year,interest_rate,exchg_rate_index,exchg_gbp_into_usd,exchg_gbp_into_eur,cpi,gdp_deflator_growth,gdp_m,unemployment_rate,gfcf,started_dwellings,completed_dwellings,capital_account_balance,trade_pct_of_gdp,randd_exp_pct_of_gdp,manuf_val_added_pct_of_gdp,urban_pop_pct,exports_total,imports_total,balance_total,goods_imports_total,goods_exports_total,goods_balance_total,goods_balance_eu,goods_balance_non_eu,goods_exports_eu,goods_imports_eu,goods_exports_non_eu,goods_imports_non_eu,services_exports_total,services_imports_total,services_balance_total,pub_sec_net_debt_m,pub_sec_net_debt_pct_of_gdp,pub_sec_deficit_m,pub_sec_receipts_m,pub_sec_expenditure_m,population,life_expectancy,mean_household_income,median_household_income,gini_coefficient,poverty_rate,child_poverty_rate,gdp_deflator_index,gdp_per_capita,gdp_growth_rate
1965,NA,NA,NA,NA,NA,5.9,801911,NA,NA,NA,NA,-38974.78078928835,NA,NA,NA,77.821,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1606627.074758442,28891138.892859694,30497765.967618134,NA,71.5157,288.31231,263.74051,0.2512448,0.80791774513195,0.9041895400678103,0.046183710685415935,NA,0.021168030073043267
1966,NA,NA,NA,NA,NA,5.3,814393,NA,NA,NA,NA,-39069.36978983216,NA,NA,NA,77.682,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1544268.248008629,30114258.977478527,31658527.225487154,NA,71.4329,297.31903,270.16418,0.260634,0.7800844335003789,0.8873043432634486,0.04863144735174297,NA,0.015565318345801467
1967,NA,NA,NA,NA,NA,2.9,836815,NA,NA,NA,NA,-49958.27552277654,NA,NA,NA,77.541,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2717730.1884390437,32518840.7032857,35236570.89172475,NA,72.0706,299.73057,274.01663,0.2509403,0.7855444106431992,0.8949587809611989,0.050041759324943515,NA,0.027532161990586855
1968,NA,NA,NA,NA,NA,4.2,882470,NA,NA,NA,NA,-49862.38631831823,NA,NA,NA,77.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1547651.759957031,35354349.68377679,36902001.44373382,NA,71.6842,308.51833,277.98553,0.2495084,0.747808213712347,0.8621968967015938,0.05214351321659114,NA,0.054558056440192876
1969,NA,NA,NA,NA,NA,6.6,899298,NA,NA,NA,NA,-41378.080723095656,NA,NA,NA,77.259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1003868.2192820597,37245669.79174997,36241801.57246791,NA,71.6625,310.21595,280.22803,0.2566273,0.7480119353616703,0.8616130757337974,0.055584985088886166,NA,0.019069203485670903
1970,NA,NA,NA,NA,NA,9.6,923582,NA,NA,NA,NA,-36112.2570576049,42.9892674147399,NA,NA,77.117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1239307.0035678046,37497654.555633016,36258347.552065216,NA,71.8819,320.70687,287.76294,0.2591464,0.7196888899960759,0.8451807150001754,0.06092114365741924,NA,0.027003284784354018
1971,NA,NA,NA,NA,NA,8.3,956960,4.1,NA,NA,NA,-34860.31697829735,42.6353072625698,NA,NA,77.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-386494.81867242715,36886762.360905334,37273257.17957776,55928000,72.234,317.0205,284.31412,0.2663186,0.7237234764130204,0.8432489826575543,0.06597759858098504,17110.5707338006,0.03613972554683829
1972,NA,NA,NA,NA,NA,7.5,998663,4.3,NA,NA,NA,-49347.26366998614,41.569431627825,NA,NA,77.195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2105013.2759796944,36617079.564948864,38722092.840928555,56096700,71.9882,335.22375,302.50876,0.2692976,0.6710495927046198,0.7988714297531271,0.07092591847455891,17802.526708344696,0.043578623975923755
1973,NA,NA,NA,NA,NA,8.8,1063550,3.7,NA,NA,NA,-50539.47697293748,47.4304221696313,NA,NA,77.358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3550722.2283550953,37469190.697320886,41019912.92567597,56222900,72.1846,356.26212,319.93738,0.2585874,0.6315948151275109,0.7698687855155697,0.0771673993003201,18916.669186399136,0.06497387006427593
1974,NA,NA,NA,NA,NA,16.2,1036973,3.7,NA,NA,NA,-37917.43274371938,58.7204994159872,NA,NA,77.521,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4806592.209571485,40425559.3978554,45232151.60742688,56235600,72.376,351.23436,321.78525,0.2511235,0.62879946924716,0.7624745841754983,0.08966851798697195,18439.796143368258,-0.024988952094400826
1975,10.795691666666666,NA,0.45203333333333334,0.58975,NA,26.1,1021204,4.5,NA,NA,NA,-31838.12051065675,52.7400836429526,NA,NA,77.683,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6377352.416731828,40811164.14124351,47188516.55797534,56225700,72.65,343.27817,316.20834,0.2429659,0.6467293753047064,0.7944175743255888,0.11307200118157164,18162.584014071857,-0.01520676044602897
1976,11.729216666666666,NA,0.5566333333333333,0.6645166666666666,NA,15.5,1051973,5.4,NA,NA,NA,-9188.490767866306,57.4007925840093,NA,NA,77.844,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6095797.916915304,42012076.91337671,48107874.830292016,56216100,72.6341,334.42549,306.42648,0.2426097,0.6696792166132027,0.8153227042571796,0.13059816136471525,18713.01993557006,0.03013012091609512
1977,8.458758333333334,NA,0.5732833333333334,0.69585,NA,13.9,1077816,5.6,NA,NA,NA,7394.893067495562,58.9106533789518,NA,NA,78.005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3923326.9038094636,41769045.09723948,45692372.001048945,56189900,73.1111,331.24802,301.77591,0.2395271,0.6746753452423232,0.7966568354310499,0.14875130579441068,19181.6678798147,0.024566219855452563
1978,9.124241666666666,NA,0.521425,0.6978,NA,11.8,1122953,5.5,NA,272470,288560,-47503.37878778252,54.9658489521189,NA,NA,78.164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5011305.807814931,41429560.69746111,46440866.50527605,56178000,73.0429,358.87455,332.13452,0.2395671,0.604357594168119,0.7369743395427748,0.16630395987815114,19989.19505856385,0.0418782055564215
1979,13.763116666666667,NA,0.47204166666666664,0.6771833333333334,NA,14.4,1164860,5.4,NA,231700,251710,-54138.798078489854,54.6416439532449,NA,NA,78.323,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4921900.050553194,42398563.18643986,47320463.23699306,56240100,73.1607,373.29592,337.34964,0.2530981,0.5764042373007598,0.6925670249966633,0.19025173010060492,20712.267581316533,0.03731856987781323
1980,16.30725,114.84769166666666,0.4301833333333333,0.6171666666666666,NA,20.1,1140989,6.8,NA,160350,240270,-1750.6058245471768,51.2923400946947,NA,NA,78.481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4394458.27106955,43780025.763188064,48174484.03425761,56329700,73.5906,378.47588,345.7858,0.2574991,0.5611268415891144,0.6682408308434528,0.22849232785082654,20255.54902653485,-0.02049259138437237
1981,13.167266666666666,116.07386666666667,0.4975333333333333,0.56085,NA,12.4,1134663,9.6,NA,158880,204380,-30760.200208902785,49.3737636806214,NA,NA,78.588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3436186.9220704697,45089391.701153815,48525578.62322429,56357500,73.9162,374.431,333.68536,0.2632599,0.5804257921195329,0.7084339030805249,0.2568253765043291,20133.309674843633,-0.005544312872429094
1982,11.961125,110.73423333333334,0.5724,0.5663333333333334,NA,8,1157191,10.7,NA,200790,176920,2163.1645716527983,49.5961959065716,NA,NA,78.539,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2653121.347132157,46870368.35628701,49523489.703419164,56290700,74.0388,369.50345,329.44937,0.2611912,0.5924758111785867,0.7080883422062586,0.27737140662467535,20557.410016219375,0.019854353230871192
1983,9.864483333333332,103.10016666666667,0.6598916666666667,0.5875833333333333,NA,5.5,1205632,11.5,NA,228600,201600,25629.911986407562,50.7955436670475,NA,NA,78.489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3616209.7152021974,47828833.0882347,51445042.8034369,56315700,74.2927,386.75208,343.15778,0.2678422,0.5624496055140209,0.6739642200846357,0.2926268339890325,21408.452705018317,0.0418608509744718
1984,9.65875,98.787875,0.751675,0.5895583333333333,NA,5.2,1232675,11.8,NA,204840,212200,34757.92880285943,55.3889118191304,NA,NA,78.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4035492.9861488105,48129011.65690897,52164504.64305778,56409300,74.6741,397.86127,349.93863,0.2699754,0.5408774886521829,0.6440886635926588,0.3078434293564622,21852.336405521786,0.022430559241957745
1985,12.095741666666667,99.41583333333334,0.7793333333333333,0.58595,NA,5.4,1283200,11.4,NA,206410,200800,57016.5885946638,54.9316639169471,NA,NA,78.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3255493.109867209,49276509.64349414,52532002.75336135,56554000,74.5362,419.29755,365.00677,0.2820465,0.5105569209235719,0.6132854457152724,0.3244669745417112,22689.81858047176,0.040988094996653616
1986,10.761666666666667,94.48118333333333,0.682125,0.6772833333333333,NA,4.5,1323173,11.3,NA,217860,207320,-76975.71252143932,50.510143037842,NA,NA,78.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2641653.0921629574,49577962.45973759,52213422.10376664,56683800,74.7948,437.65741,382.12827,0.2909725,0.47620357937602453,0.581088875681595,0.33906798839608815,23343.05392369601,0.03115102867830424
1987,9.602125,94.06495833333334,0.611825,0.71285,NA,5.5,1395353,10.4,NA,234670,214370,44448.5783476198,49.8774164683693,NA,NA,78.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1937287.0940189008,50151973.91647602,52129795.87754149,56804000,75.147,469.08033,401.44592,0.3050179,0.4437007648535353,0.5314993676824263,0.357716727757873,24564.344060277446,0.05455068989466986
