year,interest_rate,exchg_rate_index,exchg_gbp_into_usd,exchg_gbp_into_eur,cpi,gdp_deflator_growth,gdp_m,unemployment_rate,gfcf,started_dwellings,completed_dwellings,capital_account_balance,trade_pct_of_gdp,randd_exp_pct_of_gdp,manuf_val_added_pct_of_gdp,urban_pop_pct,exports_total,imports_total,balance_total,goods_imports_total,goods_exports_total,goods_balance_total,goods_balance_eu,goods_balance_non_eu,goods_exports_eu,goods_imports_eu,goods_exports_non_eu,goods_imports_non_eu,services_exports_total,services_imports_total,services_balance_total,pub_sec_net_debt_m,pub_sec_net_debt_pct_of_gdp,pub_sec_deficit_m,pub_sec_receipts_m,pub_sec_expenditure_m,population,life_expectancy,mean_household_income,median_household_income,gini_coefficient,poverty_rate,child_poverty_rate,gdp_deflator_index,gdp_per_capita,gdp_growth_rate
2010,0.5,80.394425,0.6474666666666666,0.8581666666666666,3.3,1.3,2249959,7.9,361216,139380,136000,-126542.93481968396,59.2727749722888,1.63886,9.4452591863619,81.302,651710,663086,-11376,487827,359518,-128309,-53000,-72818,192402,245402,167236,240054,290873,173348,117525,160440849.70262462,70.1,-20689978.659742452,82379589.77876367,103069568.43850613,62759500,80.3908,754.56213,618.74158,0.3371587,0.15953386585618703,0.17543385334236444,0.7183332687006747,35850.49275408504,0.022605446177703888
2011,0.5,79.94395,0.624,0.8677166666666667,4.5,2.5,2269116,8.1,360603,138460,140760,-134593.41372862895,63.5654009707745,1.64681,9.32941976073476,81.57,695989,681262,14727,503935,382929,-121006,-56187,-62060,200119,256306,183013,245073,311736,175247,136489,169851183.86379755,73.8,-16592475.037147194,84528059.21546718,101120534.2526144,63285100,80.7961,748.05281,604.87769,0.3400962,0.16930118485253748,0.19240171753442045,0.7362916004181915,35855.45412743284,0.008514377373098798
2012,0.5,83.008775,0.6309333333333333,0.8111333333333334,2.8,1.5,2303794,7.9,367983,125510,141690,-112800.67183293407,62.2259827334183,1.57587,9.34630320677592,81.837,699711,696649,3062,513650,378222,-135428,-78738,-53653,189404,268142,189416,243069,320971,181032,139939,181217022.37644434,77.3,-17463229.98842751,84516070.63160852,101979300.62003602,63710500,80.8594,740.69943,607.23822,0.3363875,0.16201242338935076,0.1842348009826681,0.7473359744244643,36160.3503347172,0.015282603445570874
2013,0.5,81.405925,0.6397666666666667,0.849375,2.6,2.2,2343384,7.6,383415,150220,135600,-187358.26223199762,61.9991119149908,1.62096,9.59367584672618,82.102,702700,718796,-16096,529843,377516,-152327,-90575,-58726,188144,278719,189998,248724,324937,186939,137998,190186311.47323534,79.2,-13565602.311753673,85780101.54316957,99345703.85492325,64138200,80.9232,759.75117,612.31494,0.3425986,0.15640903716497281,0.17591077717717934,0.7637773658618026,36536.479040571765,0.017184696201136038
2014,0.5,86.935375,0.6073583333333333,0.8064416666666666,1.5,1.6,2417439,6.2,411507,170140,145140,-271005.92165732005,59.0948041195932,2.26488,9.41066751713007,82.365,712184,755205,-43021,551270,384898,-166372,-98401,-65014,193909,292310,191554,256568,326862,202135,124727,199845926.44135612,81.5,-13403130.717895646,87569706.6082233,100972837.32611896,64618700,81.1529,777.57483,633.37909,0.3394323,0.14830357844063546,0.1731670323001964,0.7759978037155915,37410.82689685803,0.03160173492692619
2015,0.5,91.381325,0.6544416666666667,0.7261,0,0.7,2469182,5.4,439379,180610,172170,-237257.40017342768,57.2035496863734,2.27566,9.29473281602295,82.626,738202,792450,-54248,569102,397386,-171716,-108451,-60191,196583,305034,201472,261663,340404,221775,118629,205123995.0043081,81.7,-10956966.483413728,90201577.99408986,101158544.47750358,65087000,80.919,794.20867,642.55133,0.3468564,0.14553866027220974,0.17090302047940964,0.7814297883416005,37936.63865287999,0.021404056110619542
2016,0.398675,81.95310833333333,0.7409583333333333,0.8191666666666667,0.7,1.7,2523665,4.9,466345,187670,171890,-201204.43447228344,59.7003984143761,2.32052,9.1098062154651,82.886,765880,827957,-62077,594749,408454,-186295,-113332,-69506,205135,318467,204263,273769,356846,231564,125282,212730592.194398,82.5,-8533131.656850174,93037232.4953827,101570364.15223286,65605800,81.0675,786.93317,653.75806,0.3365,0.13772910063554422,0.15821739604992002,0.7947140947434076,38467.101994031014,0.022065202160067587
2017,0.2907166666666667,77.30646666666667,0.7764583333333334,0.8760666666666667,2.7,1.5,2599961,4.4,484361,197140,193650,-1210585.0039414093,63.1216500310687,2.32602,9.05419590661528,83.143,815172,853305,-38133,607455,434171,-173284,-108157,-61533,218211,326368,216978,278511,380364,243963,136401,216281269.623777,81.7,-6771465.796240011,96513068.1257981,103284533.92203812,65964300,81.164,791.28169,653.51172,0.3420763,0.1464970018307416,0.17939207239589244,0.8066348061645586,39414.66823721316,0.03023222178854959
2018,0.6032166666666666,78.42206666666667,0.7496833333333333,0.8847083333333333,2.5,2,2640295,4.1,483363,206500,199090,-330105.40553044254,64.542648250433,2.71124,8.95235988968101,83.398,846410,882424,-36014,612318,442911,-169407,-113932,-52125,218264,332196,225418,277543,402803,267974,134829,218603675.40024078,81.3,-6201873.537555925,97002980.52374667,103204854.0613026,66286700,81.1229,800.42167,646.57867,0.3504541,0.14771031924002617,0.1720055733225763,0.8227675022878499,39831.44431688408,0.015513309622721265
2019,0.75,78.069625,0.7835666666666666,0.8771249999999999,1.8,2.5,2673465,3.8,492227,191440,214230,-156758.26937434718,64.6651336372235,2.6708,8.79681958314551,83.652,862521,909625,-47104,629403,452721,-176682,-115484,-57773,215576,331060,237725,295498,409067,278018,131049,217872650.6417742,84.2,-5883889.625283268,97940242.60367022,103824132.22895348,66627500,81.4426,824.78863,674.82922,0.3517274,0.14028163677936978,0.17411703068160927,0.8433366898450461,40125.54875989644,0.01256299012042215
2020,0.228975,78.00115,0.7798666666666667,0.8891416666666667,0.9,4.8,2404838,4.6,443521,NA,NA,-341247.1709192,58.7811375973028,2.93883,8.99725503283597,83.903,758889,771512,-12623,555318,393180,-162138,-96279,-62607,189986,286265,203857,266464,365112,214719,150393,243545933.48924997,97.6,-30544224.146383494,88901111.03320509,119445335.1795886,66739900,80.3854,808.42605,662.65839,0.3416226,0.13291448423826144,0.15930136853273064,0.8838168509576082,36032.98776294241,-0.10047896643494492
2021,0.10595,81.4036,0.7270333333333333,0.8601083333333334,2.6,0.7,2610286,4.6,484576,NA,NA,-251459.6658,58.5845366237858,2.89711,8.64632011901637,84.152,780616,812232,-31616,592571,394369,-198202,-102838,-92864,185547,288385,209084,301948,385330,218408,166922,265706799.68000004,96.2,-18109927.3789,99593308.4944,117703235.8733,66978000,80.708,813.28344,666.40765,0.3423778,0.1344306876204934,0.15531082120414585,0.8900035689143113,38972.28940846248,0.08543111843708391
2022,1.4573833333333333,79.67430833333333,0.8113083333333333,0.8525833333333334,9.1,5.7,2744708,3.8,517505,NA,NA,-361951.50000000006,68.8805301397863,2.69,8.10840443503634,84.398,899377,925248,-25871,645541,448716,-196825,-120138,-74494,203686,323824,245125,319619,449587,278066,171521,265888190,93.1,-11471789.700000001,106863283.7,118335073.39999999,67636100,81.0744,814.17173,664.47223,0.3494055,0.14131878921154775,0.1820874080448775,0.940733772342427,40580.51839180556,0.05149703902177769
2023,4.676041666666666,80.49359166666666,0.804475,0.8698083333333333,7.3,6.3,2752164,4.1,520091,178570,194730,-499800,65.0323382579942,2.64,8.28364718748444,84.642,878278,910419,-32141,609467,417331,-192136,-132346,-59790,191793,324139,225538,285328,460947,300952,159995,269580000,95.8,-14319800,108340800,122660600,68526200,81.3015,795.04948,650.00372,0.3492461,0.1500070387453306,0.1998725401555742,1,40162.21532786,0.0027165002615943115
2024,5.108133333333333,83.6113,0.7827416666666667,0.8465833333333334,2.5,3.6,2783165,4.3,529217,133360,184590,-453571.4285714285,62.4075013968837,NA,8.00792286466205,84.884,883712,933984,-50272,615511,389601,-225910,-140088,-85822,182795,322883,206806,292628,494111,318473,175638,272133204.63320464,94.9,-14533494.208494207,108164961.38996139,122698455.5984556,69281400,NA,NA,NA,NA,NA,NA,1.036,40171.89317767828,0.01126422698647319
